ScenActID,ParmID,ParmValue,ParmType,ScenarioID
1,5,1.00000000e+00,0,96
1,6,2.08175003e+02,0,96
1,7,9.60730195e-01,0,96
1,8,7.01333057e+03,0,96
1,9,3.65000000e+02,0,96
1,10,1.92146034e+01,0,96
1,11,2.08175003e+02,0,96
1,12,4.00000024e+03,0,96
1,13,4.00000024e+03,0,96
2,2,1.00000000e+00,0,96
2,9,3.65000000e+02,0,96
3,1,2.00000000e+01,0,96
3,2,8.50000024e-01,0,96
3,3,5.50000000e+01,0,96
3,4,1.00000000e+00,0,96
3,5,1.00000000e+00,0,96
3,6,2.08175003e+02,0,96
3,7,1.13027072e+00,0,96
3,8,8.25097656e+03,0,96
3,9,3.65000000e+02,0,96
3,10,2.26054153e+01,0,96
3,11,1.76948761e+02,0,96
3,12,4.00000024e+03,0,96
3,13,4.70588232e+03,0,96
0,2,1.00000000e+00,0,97
0,9,3.65000000e+02,0,97
1,1,2.00000000e+01,0,97
1,2,8.50000024e-01,0,97
1,3,5.50000000e+01,0,97
1,4,1.00000000e+00,0,97
1,5,1.00000000e+00,0,97
1,6,2.08175003e+02,0,97
1,7,1.13027072e+00,0,97
1,8,8.25097656e+03,0,97
1,9,3.65000000e+02,0,97
1,10,2.26054153e+01,0,97
1,11,1.76948761e+02,0,97
1,12,4.00000024e+03,0,97
1,13,4.70588232e+03,0,97
2,2,1.00000000e+00,0,97
2,3,5.99739981e+00,0,97
2,4,1.00000000e+00,0,97
2,5,1.00000000e+00,0,97
2,6,2.27000008e+01,0,97
2,8,6.43171914e+04,1,97
2,9,3.65000000e+02,1,97
2,10,1.76210007e+02,1,97
2,11,2.27000008e+01,0,97
2,12,3.99996729e+03,0,97
2,13,3.99996729e+03,0,97
3,2,1.00000000e+00,0,97
3,3,5.99739981e+00,0,97
3,4,1.00000000e+00,0,97
3,5,1.00000000e+00,0,97
3,6,2.27000008e+01,0,97
3,8,6.43171914e+04,1,97
3,9,3.65000000e+02,1,97
3,10,1.76210007e+02,1,97
3,11,2.27000008e+01,0,97
3,12,3.99996729e+03,0,97
3,13,3.99996729e+03,0,97
0,1,2.00000000e+01,0,98
0,2,1.00000000e+00,0,98
0,3,5.50000000e+01,0,98
0,4,1.00000000e+00,0,98
0,5,1.00000000e+00,0,98
0,6,2.08175003e+02,0,98
0,7,9.60730195e-01,0,98
0,8,7.01333057e+03,0,98
0,9,3.65000000e+02,0,98
0,10,1.92146034e+01,0,98
0,11,2.08175003e+02,0,98
0,12,4.00000024e+03,0,98
0,13,4.00000024e+03,0,98
1,1,2.00000000e+01,0,98
1,2,1.00000000e+00,0,98
1,3,5.50000000e+01,0,98
1,4,1.00000000e+00,0,98
1,5,1.00000000e+00,0,98
1,6,2.08175003e+02,0,98
1,7,9.60730195e-01,0,98
1,8,7.01333057e+03,0,98
1,9,3.65000000e+02,0,98
1,10,1.92146034e+01,0,98
1,11,2.08175003e+02,0,98
1,12,4.00000024e+03,0,98
1,13,4.00000024e+03,0,98
2,2,1.00000000e+00,0,98
2,9,3.65000000e+02,0,98
3,2,1.00000000e+00,0,98
3,9,3.65000000e+02,0,98
4,2,1.00000000e+00,0,98
4,9,3.65000000e+02,0,98
5,1,2.00000000e+01,0,98
5,2,8.50000024e-01,0,98
5,3,5.50000000e+01,0,98
5,4,1.00000000e+00,0,98
5,5,1.00000000e+00,0,98
5,6,2.08175003e+02,0,98
5,7,1.13027072e+00,0,98
5,8,8.25097656e+03,0,98
5,9,3.65000000e+02,0,98
